model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
888,93.1157,57.7879,35.3278
889,93.0846,58.0167,35.0679
890,93.0534,58.2459,34.8075
891,93.0223,58.4753,34.547
892,92.991,58.7051,34.2859
893,92.9598,58.9353,34.0245
894,92.9286,59.1657,33.7629
895,92.8973,59.3965,33.5008
896,92.8661,59.6276,33.2385
897,92.8348,59.859,32.9758
898,92.8035,60.0907,32.7128
899,92.7722,60.3228,32.4494
900,92.7409,60.5551,32.1858
901,92.7097,60.7879,31.9218
902,92.6785,61.021,31.6575
903,92.6473,61.2545,31.3928
904,92.6161,61.4882,31.1279
905,92.5849,61.7223,30.8626
906,92.5537,61.9566,30.5971
907,92.5225,62.1913,30.3312
908,92.4913,62.4263,30.065
909,92.4601,62.6616,29.7985
910,92.4289,62.8972,29.5317
911,92.3976,63.1331,29.2645
912,92.3664,63.3694,28.997
913,92.3352,63.6059,28.7293
914,92.304,63.8428,28.4612
915,92.2727,64.08,28.1927
916,92.2415,64.3174,27.9241
917,92.2103,64.5552,27.6551
918,92.1791,64.7933,27.3858
919,92.1479,65.0317,27.1162
920,92.1167,65.2704,26.8463
921,92.0855,65.5093,26.5762
922,92.0543,65.7486,26.3057
923,92.0231,65.9882,26.0349
924,91.9919,66.2281,25.7638
925,91.9607,66.4683,25.4924
926,91.9296,66.7088,25.2208
927,91.8984,66.9496,24.9488
928,91.8672,67.1907,24.6765
929,91.8361,67.4321,24.404
930,91.805,67.6738,24.1312
931,91.7739,67.9157,23.8582
932,91.7428,68.158,23.5848
933,91.7117,68.4006,23.3111
934,91.6806,68.6434,23.0372
935,91.6495,68.8866,22.7629
936,91.6185,69.13,22.4885
937,91.5874,69.3738,22.2136
938,91.5564,69.6178,21.9386
939,91.5254,69.8621,21.6633
940,91.4944,70.1067,21.3877
941,91.4635,70.3516,21.1119
942,91.4325,70.5968,20.8357
943,91.4016,70.8423,20.5593
944,91.3707,71.088,20.2827
945,91.3398,71.3341,20.0057
946,91.3089,71.5804,19.7285
947,91.2781,71.827,19.4511
948,91.2472,72.0739,19.1733
949,91.2164,72.3211,18.8953
950,91.1856,72.5686,18.617
951,91.1549,72.8163,18.3386
952,91.1241,73.0643,18.0598
953,91.0934,73.3126,17.7808
954,91.0627,73.5612,17.5015
955,91.0321,73.8101,17.222
956,91.0014,74.0592,16.9422
957,90.9708,74.3087,16.6621
958,90.9402,74.5584,16.3818
959,90.9097,74.8083,16.1014
960,90.8791,75.0586,15.8205
961,90.8486,75.3091,15.5395
962,90.8181,75.5599,15.2582
963,90.7877,75.811,14.9767
964,90.7573,76.0623,14.695
965,90.7269,76.314,14.4129
966,90.6965,76.5658,14.1307
967,90.6662,76.818,13.8482
968,90.6359,77.0704,13.5655
969,90.6056,77.3231,13.2825
970,90.5753,77.5761,12.9992
971,90.5451,77.8294,12.7157
972,90.5149,78.0829,12.432
973,90.4848,78.3366,12.1482
974,90.4547,78.5907,11.864
975,90.4246,78.845,11.5796
976,90.3945,79.0996,11.2949
977,90.3645,79.3544,11.0101
978,90.3345,79.6095,10.725
979,90.3046,79.8649,10.4397
980,90.2746,80.1205,10.1541
981,90.2447,80.3764,9.8683
982,90.2149,80.6325,9.5824
983,90.1851,80.8889,9.2962
984,90.1553,81.1456,9.0097
985,90.1256,81.4026,8.723
986,90.0959,81.6598,8.4361
987,90.0662,81.9172,8.149
988,90.0366,82.1749,7.8617
989,90.007,82.4329,7.5741
990,89.9774,82.6911,7.2863
991,89.9479,82.9496,6.9983
992,89.9184,83.2083,6.7101
993,89.889,83.4673,6.4217
994,89.8596,83.7266,6.133
995,89.8302,83.9861,5.8441
996,89.8009,84.2458,5.5551
997,89.7716,84.5058,5.2658
998,89.7423,84.7661,4.9762
999,89.7131,85.0266,4.6865
1000,89.6839,85.2874,4.3965
