sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
 395  62   42.86 305.81   13.90   1   1   2   4   4  0.92
 457  22   42.92 117.96   40.72   5   3   3   7  10  0.90
  81  53   42.96 371.54   14.03   1   2   2   3   3  0.96
 189  75   43.17 424.87   13.97   3   1   2   2   3  0.93
 538  88   43.63 302.03   13.57   2   1   2   3   3  0.93
 117  60   44.13 166.38   33.09   4   4   6   6   9  0.95
 156  16   44.14 322.71   37.66  41   3   7   7   8  0.90
 182   0   44.59 231.73   49.12  38   3   3   4  11  0.96
 101  79   45.26 205.03   24.53   9   3   8   9  14  0.92
 377  12   45.54 114.37    7.63  14   1   2   3   3  0.93
 343  49   45.73 272.34   40.42  12   4   6   7   8  0.91
 129  50   46.07 513.28   20.20  10   2   2   3   4  0.95
 492  85   46.19 503.16    8.15   4   1   1   2   3  0.91
 174  81   47.98 388.89   22.89   6   2   3   3   4  0.90
  83  30   48.30 291.10   19.75   6   2   3   3   4  0.96
 528  77   48.68 372.41   65.41  11   6   6   8   9  0.90
 149  42   51.18 118.80    8.24   2   2   3   3   4  0.92
 543   2   51.48 541.39   12.73  20   2   2   2   3  0.91
  87  33   51.54 656.20    6.82   6   1   1   2   4  0.91
 125  56   51.94 254.97   13.73  11   2   2   3   5  0.91
 150   7   51.99 357.33   20.29   3   3   3   3   4  0.93
 118  47   52.27 350.75   14.78   1   2   2   3   3  0.92
 376  22   52.38 456.92    4.08   9   1   1   2   5  0.91
 382  14   52.51 454.13    8.74   2   2   2   3   3  0.91
 176  49   52.64 351.14   23.96   7   3   3   6   6  0.92
 115  20   53.08 454.81   21.59   3   1   2   3   4  0.92
 564  16   54.09 769.86    9.39  21   1   1   2   5  0.90
 294  72   54.60 173.74   27.84   4   3   3   4   5  0.93
 374   7   54.69 147.42   28.96   1   2   3   3   4  0.91
 429   7   54.99 504.39   19.11   9   2   2   3   5  0.92
 167  65   55.31 429.43   19.71   1   2   2   3   4  0.92
 432  70   55.69 338.88   21.59   3   2   3   3   4  0.90
 152  62   56.12 259.25   17.94   6   2   3   3   4  0.92
 323  40   56.24 349.33   15.16  17   2   3   3   5  0.91
   7  12   57.16  78.35   19.40   2   3   3   4   9  0.93
  55  53   57.95 507.53   12.11   3   2   3   4   4  0.92
 299  52   58.07 171.76    9.42   1   2   2   3   4  0.92
 565  74   58.43 395.43   11.69   4   2   2   4   5  0.97
 198  50   59.08 238.92   30.00   4   3   3   6   7  0.90
 368  55   59.51 454.09   21.13   3   2   3   3   4  0.93
 218  87   60.07 138.29   33.45   9   3   3   6   8  0.91
 113   8   60.56 104.60   52.81  22   7   8   9  13  0.92
  13  62   60.67 130.59   32.61   3   3   3   3   6  0.94
 419  52   61.31 251.19   43.24   9   6   7   9  11  0.92
  67  34   61.45 494.52   13.42   5   2   2   3   4  0.90
 520  52   61.63 259.92   24.06   2   2   3   3   4  0.90
 488  49   61.84 417.59   47.49  14   6   8   9  13  0.93
 193  51   64.12 464.39    7.79  20   1   2   3   6  0.93
 278  63   64.21 289.13   43.60   8   6   6   9  12  0.92
 192  67   64.33 386.94    6.10   1   2   3   4   6  0.91
 392  71   64.73 300.51   10.54   5   1   2   3   7  0.91
  91  70   65.40 201.99   68.30   7   2   3   4   5  0.93
 246  32   65.44 499.59    9.76   9   1   2   2   6  0.91
 521  24   66.52 248.19   29.79   5   3   4   6   7  0.93
 271  49   66.82 140.95   55.95   5   6   9  12  16  0.92
 455   1   68.48 354.33   48.54   4   6   8   9  12  0.90
 214  78   68.64 236.62   10.07   5   3   3   4   6  0.92
 318  72   69.03 561.08    8.61   7   1   2   3   5  0.90
 241  57   69.33 544.83   16.62   2   2   3   3   4  0.92
 551  60   73.18 280.20   48.63   3   6   9  12  15  0.93
  56  35   73.23 253.00   37.81   2   2   3   4   5  0.92
 453  21   73.32 207.98   35.78   4   4   6   6   7  0.90
  10  89   73.32 243.59   21.76   1   3   3   4   6  0.90
 236  68   73.50 603.25    6.66  15   1   2   2   6  0.90
 266  45   75.01 286.47   51.78   3   6   7  12  14  0.91
 237  14   75.29 155.90   17.58  15   2   3   3   6  0.93
 433  30   75.47 238.67    7.59   6   1   2   4   9  0.91
 568  70   76.28 387.12   14.36   3   2   3   3   7  0.95
 321  40   78.11 245.79    6.83   3   1   2   3   6  0.90
 359  54   79.08 289.17   19.61   7   2   3   4   6  0.90
 539  87   81.39 128.33    7.93   1   2   3   3   6  0.93
 513  34   85.86 373.85   26.46   6   2   3   4   6  0.90
 353  66   85.87 240.28   52.60  32   7   8  12  18  0.91
 274  20   86.00 142.11   28.68   3   6   8  10  17  0.92
 364  80   86.41 345.72   18.01  15   2   3   4   5  0.93
 431  17   86.54 484.11   15.97  10   2   2   3   6  0.90
 248  79   87.20 305.25   41.46   7   6   9  10  13  0.90
 329  81   87.42 268.66   20.83   2   2   3   4   6  0.91
  89  22   87.51 460.57   24.89  14   2   3   4   5  0.93
 221  59   87.66 131.85   48.87  63   9  11  14  20  0.91
 344   2   88.29 405.34   18.05   8   2   3   3   6  0.91
 504  56   89.02 682.91    5.57   9   1   1   1   9  0.92
 281  29   89.28 628.39   14.87  13   2   2   3   9  0.90
 257  49   89.69 125.35   21.99  26   3   3   4   5  0.92
 147  57   92.19 129.58   18.51  16   2   3   4   7  0.91
 383  87   92.23 260.19   40.90  10   3   5   7  15  0.91
 440  56   92.46 393.10   18.27   9   2   3   4   8  0.90
 103  84   92.56 512.30   13.58   6   2   3   4   7  0.90
 289  18   92.91 306.98    8.48   8   1   2   3  11  0.90
 489  85   94.03 432.82   22.49   1   3   4   6   7  0.90
 204  11   97.39 566.19    6.18   7   1   2   4  10  0.91
 463  72   99.02 170.82   20.47   4   2   3   4   7  0.92
 106  77  100.50 177.65   52.23  21   7  10  13  17  0.90
 240  45  100.95  90.05   32.84  26   4   6   8  16  0.90
 260  50  101.35 133.59   19.33  19   3   3   4   8  0.94
  65  66  102.00 370.04   39.76  12   3   4   6   8  0.92
 273  22  103.49 316.11   44.55  10   6   7  10  15  0.92
  84   6  105.02 428.30    6.59   1   2   2   3   7  0.90
  90  26  105.06 327.36   17.09   3   3   4   4   8  0.92
 499  87  106.37 287.19  145.71   8   6  11  13  19  0.90
  41  67  106.44  95.26   75.15  77   9  11  15  20  0.92
 233   5  107.01 393.52   51.84   1   8   9  12  15  0.93
 209   5  107.14 238.48   32.90   8   3   5   7   9  0.93
 224  68  108.19 312.11   24.30  10   3   4   5   8  0.90
 282  39  109.37 569.31   19.02  16   2   3   3  14  0.90
 109  83  109.51 537.57   27.01   9   3   4   5   9  0.91
 496  25  109.77 437.22   29.17   4   3   4   6   8  0.93
 102  19  110.17 225.57   28.15  38   3   4   5   6  0.90
 287  76  110.36 539.04   20.75   1   3   3   4   8  0.91
 339  24  111.26 371.02   21.54   2   3   4   6   8  0.90
 215  76  111.62 475.43   46.09   9  10  13  18  24  0.91
 406  62  111.72 114.21   50.14   4   7   9  12  15  0.91
 522  88  112.27 305.72   33.14   7   6   6   7  10  0.94
 346  32  112.47 167.80   18.04   1   3   3   5  12  0.90
 242  50  112.53 255.88   39.08   7   6   7  10  12  0.92
 380  64  112.92 217.45  132.35   7  12  14  18  23  0.91
 187  23  113.79 226.95   19.12  20   4   4   5  11  0.91
 466  43  114.45 355.99   61.49  14   4   5   9  10  0.92
